issu,act,ctxt,key,summ,area,date
Constitutional development,,Council Motion,34670,"Hon Emily LAU moved a motion ""Calling on the Chief Executive Mr TUNG Chee-hwa to step down"" for debate in the Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm1008ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 105""]",Constitutional Affairs,8.10.03
Constitutional development,,Constitutional Affairs Panel,34671,"The Panel discussed the way forward for review on constitutional development after 2007. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca1020cb2-119e02.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,20.10.03
Constitutional development,,Council Motion,34672,"Hon James TO moved a motion on ""Election of the Chief Executive and all Members of the Legislative Council by universal suffrage"" for debate in the Council. The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm1112ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 132""]",Constitutional Affairs,12.11.03
Constitutional development,,Policy Address,34673,"CE announced in his Policy Address 2004 the setting up of the Task Force on Constitutional Development (the Task Force) headed by the Chief Secretary for Administration (CS), with the Secretary for Justice (SJ) and SCA as members.  Its tasks were to examine in-depth the relevant principles and legislative process in the Basic Law relating to constitutional development, to consult the relevant departments of the Central Authorities, and to listen to the views of the public on the relevant issues. [<a href=""http://www.policyaddress.gov.hk/pa04/eng/p75.htm"" target=""_blank"">Policy Address</a> ""paragraphs 75 to 78""] [<a href=""http://www.info.gov.hk/gia/general/200401/07/0107255.htm"" target=""_blank"">Transcripts of CE's press conference</a>]",Constitutional Affairs,7.1.04
Constitutional development,,Constitutional Affairs Panel,34674,"The Task Force briefed the Panel on, inter alia, issues of principle and legislative process relating to constitutional development at the two meetings of the Panel.  
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0115cb2-981-7e.pdf"" target=""_blank"">Policy Agenda</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0115cb2-1003-1e.pdf"" target=""_blank"">Paper on ""Task Force on Constitutional Development""</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0128cb2-1093-1e.pdf"" target=""_blank"">Administration's response to Hon Emily LAU's request for clarification of the origin of the viewpoint that Article 159 of the Basic Law should apply to any amendments to the methods prescribed in Annexes I and II of the Basic Law</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0128cb2-1107-1e.pdf"" target=""_blank"">Paper on the progress made in meeting the public by the Task Force</a>]",Constitutional Affairs,15.1.04
Constitutional development,,Not Applicable,34675,The Task Force started its first meeting with different organizations and individuals in the community to discuss the relevant issues.,Constitutional Affairs,16.1.04
Constitutional development,,Press Release,34676,The Task Force visited Beijing and met with the Hong Kong and Macao Affairs Office and the Legislative Affairs Commission of the Standing Committee of the National People's Congress (NPCSC) to exchange views on the issues of principle and legislative process relating to constitutional development in the Basic Law.,Constitutional Affairs,8.2.04 to 10.2.04
Constitutional development,,Council Meeting,34677,"CS made a statement in the Council to inform Members of the first visit of the Task Force to Beijing. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0211ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 80""]",Constitutional Affairs,11.2.04
Constitutional development,,Constitutional Affairs Panel,34678,"The Panel was briefed on the work progress of the Task Force since 28.1.04. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0216cb2-1299-1_7e-scan.pdf"" target=""_blank"">Six sets of transcript of the media session by CS during the visit of the Task Force to Beijing from 8.2.04 to 10.2.04 and press release issued by Xinhua News Agency on 10.2.04</a>] [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0216cb2-1347-1e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,16.2.04
Constitutional development,,Council Motion,34679,"Hon Andrew CHENG moved a motion on ""Immediately consulting the public on election by universal suffrage"" for debate in Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0225ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 142""]",Constitutional Affairs,25.2.04
Constitutional development,,House Committee,34680,"CS briefed HC on the work progress of the Task Force. [<a href=""http://www.legco.gov.hk/yr03-04/english/hc/papers/shc0227cb2-1459-3e.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr03-04/english/hc/papers/shc0227cb2-1445e.pdf"" target=""_blank"">Background brief prepared by the Secretariat</a>]",Constitutional Affairs,27.2.04
Constitutional development,,Constitutional Affairs Panel,34681,"The Panel was briefed on the progress of work of the Task Force since 16.2.04. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0315cb2-1686-3e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,15.3.04
Constitutional development,,Council Motion,34682,"Hon James To moved a motion on ""Respecting and complying with the principles prescribed in the Basic Law"" for debate in the Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0317ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 138""]",Constitutional Affairs,17.3.04
Constitutional development,,Press Release,34683,"CE announced at a press conference that -
<table>
<tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">NPCSC would give an interpretation of Article 7 of Annex I and Article III of Annex II to the Basic Law at its meeting on 2.4.04 to 6.4.04; and
</td></tr><tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">the Task Force would meet with representatives of NPCSC on 30.3.04</td></tr></table>
[<a href=""http://www.info.gov.hk/gia/general/200403/26/0326311.htm"" target=""_blank"">CE's transcripts on constitutional development</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200403/26/0326318.htm"" target=""_blank"">CS's statement</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200403/26/0326310.htm"" target=""_blank"">Transcript of question and answer session</a>]",Constitutional Affairs,26.3.04
Constitutional development,,Press Release,34684,"The Task Force met representatives of NPCSC in Shenzhen.
<br /><br />The First Report of the Task Force was published.
[<a href=""http://www.info.gov.hk/gia/general/200403/30/0330222.htm"" target=""_blank"">CS's statement</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200403/30/0330254.htm"" target=""_blank"">Transcript of question and answer session</a>]",Constitutional Affairs,30.3.04
Constitutional development,,Constitutional Affairs Panel,34685,"The Panel was briefed on the First Report of the Task Force.
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0331cb2-report-e.pdf"" target=""_blank"">First Report of the Task Force</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/chinese/panels/ca/papers/ca0331cb2-annex-ce-scan.pdf"" target=""_blank"">Annexes 1, 2 and 3 to the Report</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0331cb2-1902-1e.pdf"" target=""_blank"">Paper</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0331cb2-1912-1e-scan.pdf"" target=""_blank"">Submission from the Article 45 Concern Group</a>]",Constitutional Affairs,31.3.04
Constitutional development,,Press Release,34686,"The interpretation of NPCSC of Article 7 of Annex I and Article III of Annex II to the Basic Law was promulgated.  CE was required to make a report to NPCSC as regards whether there was a need to amend the methods for electing CE in 2007 and for forming LegCo in 2008 (the ""electoral methods""). 
[<a href=""http://www.info.gov.hk/gia/general/200404/06/0406219.htm"" target=""_blank"">CE's transcript</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/06/0406212.htm"" target=""_blank"">CS's statement</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/06/0406232.htm"" target=""_blank"">CS's transcript</a>]",Constitutional Affairs,6.4.04
Constitutional development,,Press Release,34687,"CE submitted a report to NPCSC in accordance with the NPCSC Interpretation.  CE considered that ""electoral methods"" should be amended and requested NPCSC to make a determination in this respect.
<br /><br />The Second Report of the Task Force was published. The Report was attached as an annex to the CE's report to NPCSC.
<br /><br />SCA presented the two reports to the Deputy Secretary-General of NPCSC at the Great Hall of the People.
[<a href=""http://www.info.gov.hk/gia/general/200404/15/0415169.htm"" target=""_blank"">Press release</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/15/0415216.htm"" target=""_blank"">CE's transcript</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/15/0415200.htm"" target=""_blank"">CS's statement</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/15/0415231.htm"" target=""_blank"">Transcript of question and answer session</a>]",Constitutional Affairs,15.4.04
Constitutional development,,Constitutional Affairs Panel,34688,"The Task Force briefed the Panel on the CE Report to NPCSC and the Second Report of the Task Force.
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0416cb2-cereport-e.pdf"" target=""_blank"">Report by CE</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0416cb2-report2-e.pdf"" target=""_blank"">Second Report of the Task Force</a>]
[<a href=""http://www.legco.gov.hk/yr03-04/chinese/panels/ca/papers/ca0416cb2-annex-ce-scan.pdf"" target=""_blank"">Annexes 1, 2 and 3 to the Report of the Task Force</a>] 
[<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0416cb2-2029-1e.pdf"" target=""_blank"">Paper</a>] 
<br /><br />Dr Hon YEUNG Sum moved a motion to call upon CE to consult the people of Hong Kong immediately and submit a supplementary report to reflect public opinions, so as to fulfill Hong Kong people's aspiration for the election of CE and LegCo Members by universal suffrage in 2007 and 2008 respectively.  The motion was deferred to the Panel meeting on 19.4.04 for a decision.",Constitutional Affairs,16.4.04
Constitutional development,,Constitutional Affairs Panel,34689,Dr Hon YEUNG Sum's motion was negatived.,Constitutional Affairs,19.4.04
Constitutional development,,Press Release,34690,"At the invitation of NPCSC, the Task Force briefed NPCSC representatives on its Second Report in Shenzhen. [<a href=""http://www.info.gov.hk/gia/general/200404/21/0421270.htm"" target=""_blank"">Press release</a>]",Constitutional Affairs,21.4.04 to 22.4.04
Constitutional development,,Council Motion,34691,"Hon Frederick FUNG moved a motion for the Council to adjourn for the purpose of debating the ""Report by the Chief Executive of the Hong Kong Special Administrative Region to the Standing Committee of the National People's Congress on whether there is a need to amend the methods for selecting the Chief Executive of the Hong Kong Special Administrative Region in 2007 and for forming the Legislative Council of the Hong Kong Special Administrative Region in 2008"".  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0422ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 125""]",Constitutional Affairs,22.4.04
Constitutional development,,Press Release,34692,"NPCSC deliberated on the CE's report and promulgated its decision on 26.4.04 (the NPCSC Decision).  The NPCSC Decision is summarized as follows -
<table>
<tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">the election of the third term CE in 2007 and LegCo in the fourth term in 2008 should not be by means of universal suffrage;
</td></tr><tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">the 50/50 ratio for Members returned by functional and geographical constituencies would remain unchanged for the fourth term LegCo;
</td></tr><tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">the procedures for voting on bills and motions in LegCo should remain unchanged; and 
</td></tr><tr><td valign=""top"">&bull;&nbsp;</td><td valign=""top"">subject to the above not being contravened, the ""electoral methods"" could be appropriately amended, consistent with the principle of gradual and orderly progress and in accordance with the relevant provisions of the Basic Law.
</td></tr></table><br />
On 26.4.04, representatives of NPCSC held two forums to meet representatives of various sectors including LegCo Members.
[<a href=""http://www.info.gov.hk/gia/general/200404/26/0426188.htm"" target=""_blank"">CE spoke on NPCSC's constitutional development decision</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/26/0426145.htm"" target=""_blank"">CS's statement</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200404/26/0426166.htm"" target=""_blank"">Transcript of question and answer session</a>]",Constitutional Affairs,25.4.04 to 26.4.04
Constitutional development,,Constitutional Affairs Panel,34693,"The Task Force briefed the Panel on the NPCSC Decision and the way forward. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/cacb2-2174-1e.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr03-04/chinese/panels/ca/papers/ca0504-2212-1ce-scan.pdf"" target=""_blank"">NPCSC's decision</a>]",Constitutional Affairs,4.5.04
Constitutional development,,Council Motion,34694,"Hon Frederick FUNG moved a motion on ""Requesting the Chief Executive to submit a supplementary report to the Standing Committee of the National People's Congress"" for debate in the Council.  The motion was negatived.  [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0505ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 133""]",Constitutional Affairs,5.5.04
Constitutional development,,Press Release,34695,"The Third Report of the Task Force was published. 
[<a href=""http://www.info.gov.hk/gia/general/200405/11/0511187.htm"" target=""_blank"">CE's talks about the Third Report</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200405/11/0511209.htm"" target=""_blank"">CS's statement</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200405/11/0511239.htm"" target=""_blank"">Transcript of question and answer session</a>]",Constitutional Affairs,11.5.04
Constitutional development,,Constitutional Affairs Panel,34696,"The Panel was briefed on the Third Report of the Task Force.  The consultation period for the Third Report would end on 31.8.04 [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0517cb2-report3-e.pdf"" target=""_blank"">Third Report of the Task Force</a>] [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0517cb2-2333-3e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.5.04
Constitutional development,,Council Motion,34697,"Hon Albert HO moved a motion on ""Regretting the decision of the Standing Committee of the National People's Congress to rule out universal suffrage in the years 2007 and 2008"" for debate in the Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0519ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 161""]",Constitutional Affairs,19.5.04
