issu,act,ctxt,key,summ,area,date
Electoral matters,,Council Question,34862,"Hon Albert HO raised a question on ""Regulation of village representative elections"". [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000223fe.pdf"" target=""_blank"">Hansard</a> ""page 18""]",Constitutional Affairs,23.2.00
Electoral matters,,Council Question,34863,"Hon LEE Wing-tat raised a question on ""Updating of voter register"". [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000301fe.pdf"" target=""_blank"">Hansard</a> ""page 73""]",Constitutional Affairs,1.3.00
Electoral matters,,Constitutional Affairs Panel,34864,"The Panel discussed the major findings and recommendations of the EAC Report on the 1999 DC election. [<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/b1680e03.pdf"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the results of the voter registration campaign and the publicity programmes for the 2000 LegCo election. [<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/b1680e04.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/b1680e05.pdf"" target=""_blank"">Paper 2</a>]",Constitutional Affairs,17.4.00
Electoral matters,,Constitutional Affairs Panel,34865,"The Panel discussed the counting arrangements for the 2000 LegCo election. [<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/papers/b2354e02.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,19.6.00
Electoral matters,,Constitutional Affairs Panel,34866,"The Panel discussed the proposed legislation on the election of Chief Executive (CE). [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b126e05.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,31.10.00
Electoral matters,,Establishment Subcommittee,34867,"ESC endorsed the proposed creation of one supernumerary post of Justice of Appeal of the Court of Appeal of the High Court (JSPS 17) up to 28.9.03 in the Judiciary to take up the judicial duties of a Justice of Appeal of the Court of Appeal of the High Court who had been appointed as the Chairman of EAC.  [<a href=""http://www.legco.gov.hk/yr00-01/english/fc/esc/papers/e00-15e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,15.11.00
Electoral matters,,Finance Committee,34868,"FC approved the staffing proposal endorsed by ESC at the meeting on 15.11.00. [<a href=""http://www.legco.gov.hk/yr00-01/english/fc/fc/papers/fc00-44e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,1.12.00
Electoral matters,,Constitutional Affairs Panel,34869,"The Panel discussed the proposed legislation on the election of CE. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b513e02.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b674e01.pdf"" target=""_blank"">Paper 2</a>]",Constitutional Affairs,18.12.00
Electoral matters,,Constitutional Affairs Panel,34870,"The Panel discussed the major findings and recommendations of the EAC Report on the 2000 LegCo election. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b126e06.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b755e01.pdf"" target=""_blank"">Paper 2</a>]
[<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b877e04.pdf"" target=""_blank"">Paper 3</a>]",Constitutional Affairs,19.2.01
Electoral matters,,Constitutional Affairs Panel,34871,"The Panel discussed a paper entitled ""Review on electoral system for LegCo election"". [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b126e06.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,19.3.01
