issu,act,ctxt,key,summ,area,date
System of accountability for principal officials,,Constitutional Affairs Panel,35135,"CA Panel was briefed on the progress of the study on the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b2261e01.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief which summarized the main issues considered by CA Panel relating to the proposed accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b2207e01.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,27.8.01
System of accountability for principal officials,,Policy Address,35136,"CE announced in the 2001 Policy Address the introduction of a new system of appointing principal officials, applicable to the top three Secretaries (the Chief Secretary for Administration (CS), the Financial Secretary (FS) and the Secretary for Justice (SJ)) and most Directors of Bureaux. [<a href=""http://www.policyaddress.gov.hk/pa01/e130.htm"" target=""_blank"">2001 Policy Address</a> ""paragraphs 131 to 140""]",Constitutional Affairs,10.10.01
System of accountability for principal officials,,Constitutional Affairs Panel,35137,"CA Panel received views from academia on the proposed accountability system for principal officials.
<br /><br />CA Panel discussed the Administration's paper on the progress of the study on the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1030cb2-194-1.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,19.11.01
System of accountability for principal officials,,Constitutional Affairs Panel,35138,"CA Panel discussed the Administration's response to members' concerns raised at the meeting held on 19.11.01 about the differences between the terms ""public servants"" and ""civil servants"", and whether introducing a new system of appointment for certain principal officials on terms different from those in the civil service would contravene the Basic Law. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1217cb2-693-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />CA Panel also discussed the Administration's paper entitled ""Enhancing the Accountability System: the post of Secretary for Justice"". [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1217cb2-675-3e.pdf"" target=""_blank"">Paper</a>] &amp; [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca0121cb2-921-3e.pdf"" target=""_blank"">Supplementary paper</a>]",Constitutional Affairs,17.12.01
System of accountability for principal officials,,Constitutional Affairs Panel,35139,"CA Panel was briefed on the Research Report on ""Restrictions on Activities of Former Heads of Government and Former Senior Members of Government"" prepared by the LegCo Secretariat. [<a href=""http://www.legco.gov.hk/yr01-02/english/sec/library/0102rp02e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.1.02
System of accountability for principal officials,,Constitutional Affairs Panel,35140,"CA Panel was briefed on the Research Report on ""Process of Appointment of Senior Members of Government in Selected Countries"" prepared by the LegCo Secretariat. [<a href=""http://www.legco.gov.hk/yr01-02/english/sec/library/0102rp05e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.3.02
System of accountability for principal officials,,Council Meeting,35141,"CE addressed the Council on the framework of the new accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0417ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 7""]",Constitutional Affairs,17.4.02
System of accountability for principal officials,,Constitutional Affairs Panel,35142,"CA Panel discussed the Administration's paper which set out the framework of the new accountability system for principal officials and the details relating to its implementation. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca0418cb2-paper-e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.4.02
System of accountability for principal officials,,House Committee,35143,The House Committee (HC) agreed to set up the Subcommittee to study the proposed accountability system for principal officials and related issues (SUBC).,Constitutional Affairs,19.4.02
System of accountability for principal officials,,Subcommittee to study discrimination on the ground of sexual orientation,35144,"SUBC held 15 meetings [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/sub_com/hs51/general/hs51.htm"" target=""_blank"">Meeting schedules</a>] and reported its deliberations on the proposed accountability system for principal officials in its three reports submitted to HC on -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top""><a href=""http://www.legco.gov.hk/yr01-02/english/hc/general/hc_mtg.htm#2405"" target=""_blank"">24.5.02</a> [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/papers/hc0524cb2-2015.pdf"" target=""_blank"">First report</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top""><a href=""http://www.legco.gov.hk/yr01-02/english/hc/general/hc_mtg.htm#0706"" target=""_blank"">7.6.02</a> [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/papers/hc0607cb2-2171.pdf"" target=""_blank"">Second report</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top""><a href=""http://www.legco.gov.hk/yr01-02/english/hc/general/hc_mtg.htm#1406"" target=""_blank"">14.6.02</a> [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/papers/hc0607cb2-2171.pdf"" target=""_blank"">Final report</a>]
</td></tr></table>
Relevant papers considered by SUBC were set out in the Appendix to the Final Report of SUBC. [<a href=""#app"">Appendix</a>]",Constitutional Affairs,-
